FILM,IMDB_user_vote_count
Do You Believe? (2015),3136
Hot Tub Time Machine 2 (2015),19560
Irrational Man (2015),2680
Top Five (2014),16876
Shaun the Sheep Movie (2015),12227
Love & Mercy (2015),5367
Far From The Madding Crowd (2015),12129
Black Sea (2015),16547
Pixels (2015),19521
"McFarland, USA (2015)",13769
The End of the Tour (2015),1320
Red Army (2015),2275
When Marnie Was There (2015),4160
The Hunting Ground (2015),1196
The Boy Next Door (2015),19658
Aloha (2015),12255
5 Flights Up (2015),2174
Welcome to Me (2015),8301
Saint Laurent (2015),2196
I'll See You In My Dreams (2015),1151
Timbuktu (2015),6246
The Diary of a Teenage Girl (2015),1107
Annie (2014),19222
Hot Pursuit (2015),17061
Black or White (2015),4857
Ricki and the Flash (2015),1769
Unfinished Business (2015),14346
American Ultra (2015),3017
True Story (2015),16069
Child 44 (2015),19220
Dark Places (2015),9856
The Gift (2015),10891
Monkey Kingdom (2015),883
Mr. Turner (2014),13296
Seymour: An Introduction (2015),243
The Wrecking Crew (2015),732
Straight Outta Compton (2015),15982
Vacation (2015),8179
Paper Towns (2015),14156
Self/less (2015),5626
Sinister 2 (2015),3200
Little Boy (2015),5927
Me and Earl and The Dying Girl (2015),5269
Maggie (2015),18986
Dope (2015),4911
The Overnight (2015),867
The Salt of the Earth (2015),6605
Song of the Sea (2014),14067
The Gallows (2015),5511
The Second Best Exotic Marigold Hotel (2015),12940
Strange Magic (2015),3658
The Gunman (2015),16663
Hitman: Agent 47 (2015),4260
Cake (2015),19627
The Vatican Tapes (2015),952
A Little Chaos (2015),4778
The 100-Year-Old Man Who Climbed Out the Window and Disappeared (2015),17237
Escobar: Paradise Lost (2015),7819
While We're Young (2015),17647
Clouds of Sils Maria (2015),11392
Testament of Youth (2015),5495
Infinitely Polar Bear (2015),1062
Phoenix (2015),3687
The Wolfpack (2015),1488
The Stanford Prison Experiment (2015),950
Tangerine (2015),696
Magic Mike XXL (2015),11937
Woman in Gold (2015),17957
The Last Five Years (2015),4110
Amy (2015),5630
Max (2015),5444
Paul Blart: Mall Cop 2 (2015),15004
The Lazarus Effect (2015),17691
The Woman In Black 2 Angel of Death (2015),14873
Danny Collins (2015),11206
Serena (2015),12165
Mr. Holmes (2015),7367
Gett: The Trial of Viviane Amsalem (2015),1955
"Kumiko, The Treasure Hunter (2015)",5289
